Neighbourhood.Cleansed,Renta_pers,Renta_hogar
Madrid,15930,40195
Centro,16711,33473
Palacio,18254,36357
Embajadores,13454,27655
Cortes,19431,37725
Justicia,21570,43045
Universidad,16869,33210
Sol,16600,32599
Arganzuela,17738,42088
Imperial,18632,44101
Acacias,19323,46102
Chopera,14244,33284
Legazpi,20054,51613
Delicias,17282,41535
Palos de Moguer,16276,35874
Atocha,14061,38971
Retiro,21598,53111
Pacífico,18839,43434
Adelfas,18991,45918
Estrella,22436,60386
Ibiza,20682,48231
Jerónimos,25792,69040
Niño Jesús,25063,67163
Salamanca,24683,57720
Recoletos,29417,79041
Goya,22743,51783
Fuente del Berro,18817,42630
Guindalera,20321,47779
Lista,22354,51492
Castellana,27602,71150
Chamartín,26267,65995
El Viso,28945,78304
Prosperidad,19662,45620
Ciudad Jardín,19345,45521
Hispanoamérica,25701,65751
Nueva España,27478,73036
Castilla,22650,57952
Tetuán,15180,36142
Bellas Vistas,13115,32298
Cuatro Caminos,19263,44644
Castillejos,21041,46861
Almenara,12877,30883
Valdeacederas,11835,28996
Berruguete,12390,30201
Chamberí,22897,51644
Gaztambide,20438,45112
Arapiles,20198,44265
Trafalgar,20613,43792
Almagro,26752,68598
Ríos Rosas,22204,50234
Vallehermoso,24669,60074
Fuencarral-El pardo,18661,50379
El Pardo,15289,36745
Fuentelarreina,28731,82753
Peñagrande,17862,46883
Pilar,14477,34532
La Paz,22078,59580
Valverde,16091,44503
Mirasierra,23742,68895
El Goloso,20244,61919
Moncloa-Aravaca,22792,58965
Casa de Campo,18938,42796
Argüelles,23167,54138
Ciudad Universitaria,23760,59969
Valdezarza,14739,35983
Valdemarín,30009,86006
El Plantío,30210,86006
Aravaca,24362,68911
La Latina,12370,30847
Los Cármenes,11469,30190
Puerta del Angel,11964,28661
Lucero,12173,30910
Aluche,12689,31591
Campamento,12519,32304
Cuatro Vientos,14827,36806
Las Águilas,12402,30653
Carabanchel,10988,28721
Comillas,12090,28516
Opañel,11468,28721
San Isidro,10529,27032
Vista Alegre,10775,28333
Puerta Bonita,9712,26363
Buenavista,11927,32278
Abrantes,10544,28797
Usera,9552,26501
Orcasitas,10529,28256
Orcasur,8966,25933
San Fermín,9254,26284
Almendrales,9589,26470
Moscardó,10132,26986
Zofio,9601,26501
Pradolongo,8225,23959
Puente de Vallecas,9706,25527
Entrevías,8567,23086
San Diego,8413,21859
Palomeras Bajas,11148,29605
Palomeras Sureste,10519,27810
Portazgo,9484,24622
Numancia,9818,25457
Moratalaz,14135,35514
Pavones,13087,34991
Horcajo,15736,46289
Marroquina,16232,41108
Media Legua,14613,36404
Fontarrón,11607,28718
Vinateros,12695,29627
Ciudad Lineal,15111,37621
Ventas,12072,29319
Pueblo Nuevo,12033,30975
Quintana,13042,30972
Concepción,15202,35034
San Pascual,17766,42809
San Juan Bautista,22460,57584
Colina,21959,54615
Atalaya,25974,68336
Costillares,23569,65144
Hortaleza,18620,49695
Palomas,27209,80218
Piovera,27758,79632
Canillas,16175,41118
Pinar del Rey,13932,34494
Apóstol Santiago,14396,37643
Valdefuentes,19838,55435
Villaverde,9875,27392
"Villaverde Alto, CH Villaverde",9354,25622
San Cristóbal,6624,20365
Butarque,10698,30538
Los Rosales,10311,29137
Los Ángeles,11245,29050
Villa de Vallecas,12114,31447
Casco Histórico de Vallecas,9380,25208
Santa Eugenia,13616,37373
Ensanche de Vallecas,13831,33626
Vicálvaro,11941,32713
Casco Histórico de Vicálvaro,9571,24976
Valdebernardo,13876,40074
Valderrivas,14373,41470
El Cañaveral,13434,31445
San Blas-Canillejas,13559,35546
Simancas,12811,32113
Hellín,10233,24923
Amposta,8987,22574
Arcos,11189,29659
Rosas,15723,44886
Rejas,15608,39137
Canillejas,12337,32291
Salvador,20471,54317
Barajas,17807,47782
Alameda de Osuna,19871,54037
Aeropuerto,9814,25585
Casco Histórico de Barajas,12560,30335
Timón,15337,41023
Corralejos,23340,67867
